timestamp,open,high,low,close,volume
2017/2/3,814.66,815.84,790.52,801.49,10432459
2017/1/27,807.25,841.95,803.74,823.31,11004604
2017/1/20,807.08,809.48,800.37,805.02,5245892
2017/1/13,806.4,811.2244,799.17,807.88,5969633
2017/1/6,778.81,807.9,775.8,806.15,5705563
2016/12/30,790.68,797.86,770.41,771.82,4457367
2016/12/23,790.22,798.65,786.27,789.91,4990560
2016/12/16,785.04,804.3799,784.3554,790.8,10023771
2016/12/9,757.71,789.43,752.9,789.29,8155851
2016/12/2,760,779.53,737.0245,750.5,10668090
2016/11/25,762.61,776.96,755.25,761.68,4989585
2016/11/18,755.6,775,727.54,760.54,10362173
2016/11/11,774.5,795.633,750.38,754.02,12736062
2016/11/4,795.47,796.86,750.5611,762.02,10830041
2016/10/28,804.9,816.68,791.5,795.37,11940774
2016/10/21,779.8,804.63,777.5,799.37,7940383
2016/10/14,777.71,792.28,773,778.53,5702583
2016/10/7,774.25,782.07,769.5,775.08,5945172
2016/9/30,782.74,785.9899,773.07,777.29,6696366
2016/9/23,772.42,789.85,764.4406,786.9,6217425
2016/9/16,755.13,773.8,754.0001,768.88,7196611
2016/9/9,773.45,782.73,759.66,759.66,5492603
2016/9/2,768.74,774.99,764.3,771.46,5223939
2016/8/26,773.27,776.44,763.1846,769.54,5045157
2016/8/19,783.75,787.49,773.13,775.42,4471434
2016/8/12,782,789.75,778.091,783.22,4928725
2016/8/5,761.09,783.04,761.09,782.22,8713875
2016/7/29,740.67,778.55,734.27,768.79,11103338
2016/7/22,722.71,743.24,721.19,742.74,6098762
2016/7/15,708.05,725.74,707.24,719.85,5614091
2016/7/8,696.06,705.71,688.215,705.63,5753907
2016/7/1,671,700.65,663.284,699.21,9689832
2016/6/24,698.77,702.77,673.45,675.22,11352927
2016/6/17,716.51,725.44,688.4515,691.72,9164340
2016/6/10,724.91,729.54,714.61,719.41,6691871
2016/6/3,731.74,739.73,720.56,722.34,5951198
2016/5/27,706.53,733.936,704.18,732.66,8443971
2016/5/20,709.13,721.52,696.8,709.74,8583751
2016/5/13,712,724.48,709,710.83,7447774
2016/5/6,697.63,711.86,689.01,711.12,8395373
